empty_ticket_count,is_deleted,normal_ticket_count,sex,id,image_url,nickname,phone_number,status
0,False,74,MALE,22,https://example.com/image22.jpg,Sunny56,010-5655-6889,AVAILABLE
4,False,37,FEMALE,23,https://example.com/image23.jpg,Alexander60,010-7489-3061,AVAILABLE
4,False,24,MALE,24,https://example.com/image24.jpg,William56,010-9604-7990,AVAILABLE
4,True,23,MALE,25,https://example.com/image25.jpg,Liam47,010-7839-5490,AVAILABLE
0,False,108,FEMALE,26,https://example.com/image26.jpg,Alexander33,010-9062-9114,AVAILABLE
4,False,55,FEMALE,27,https://example.com/image27.jpg,Evelyn86,010-4564-6136,AVAILABLE
1,False,54,FEMALE,28,https://example.com/image28.jpg,James38,010-9752-7208,AVAILABLE
3,True,112,MALE,29,https://example.com/image29.jpg,Sunny51,010-3237-3844,AVAILABLE
5,False,54,MALE,30,https://example.com/image30.jpg,Benjamin76,010-6707-2914,AVAILABLE
2,False,35,FEMALE,31,https://example.com/image31.jpg,James21,010-5115-8778,AVAILABLE
5,False,26,FEMALE,32,https://example.com/image32.jpg,Isabella68,010-3487-2064,AVAILABLE
4,False,42,MALE,33,https://example.com/image33.jpg,Amelia25,010-1074-2638,AVAILABLE
0,False,48,MALE,34,https://example.com/image34.jpg,Amelia49,010-2762-7849,AVAILABLE
5,True,42,FEMALE,35,https://example.com/image35.jpg,Emma32,010-1718-1051,AVAILABLE
2,False,52,MALE,36,https://example.com/image36.jpg,Daniel44,010-9740-6059,AVAILABLE
1,True,91,MALE,37,https://example.com/image37.jpg,Sophia20,010-2985-8303,AVAILABLE
5,True,72,FEMALE,38,https://example.com/image38.jpg,Alice7,010-7831-6875,AVAILABLE
3,True,41,FEMALE,39,https://example.com/image39.jpg,Amelia16,010-1932-9569,AVAILABLE
3,False,71,MALE,40,https://example.com/image40.jpg,Lucas92,010-3936-3021,AVAILABLE
4,False,74,FEMALE,41,https://example.com/image41.jpg,Ella46,010-4087-2066,AVAILABLE
0,False,117,MALE,42,https://example.com/image42.jpg,Jack91,010-7324-4791,AVAILABLE
2,False,95,FEMALE,43,https://example.com/image43.jpg,Amelia68,010-5119-8187,AVAILABLE
4,False,49,FEMALE,44,https://example.com/image44.jpg,Emily10,010-2209-4874,AVAILABLE
1,False,93,MALE,45,https://example.com/image45.jpg,Lucas31,010-3077-9540,AVAILABLE
1,False,113,MALE,46,https://example.com/image46.jpg,Lucas48,010-9144-4368,AVAILABLE
0,False,58,MALE,47,https://example.com/image47.jpg,James7,010-4193-2810,AVAILABLE
3,True,61,FEMALE,48,https://example.com/image48.jpg,Isabella17,010-4278-3372,AVAILABLE
3,False,100,FEMALE,49,https://example.com/image49.jpg,Isabella25,010-1362-7656,AVAILABLE
0,True,87,MALE,50,https://example.com/image50.jpg,Lucas8,010-8748-6296,AVAILABLE
1,False,22,MALE,51,https://example.com/image51.jpg,Kevin9,010-1605-9777,AVAILABLE
1,False,69,MALE,52,https://example.com/image52.jpg,Olivia87,010-2302-5160,AVAILABLE
3,False,91,FEMALE,53,https://example.com/image53.jpg,Alexander57,010-5841-2209,AVAILABLE
2,False,15,MALE,54,https://example.com/image54.jpg,Mia24,010-4332-6716,AVAILABLE
2,False,75,MALE,55,https://example.com/image55.jpg,Amelia20,010-6893-4560,AVAILABLE
5,True,60,MALE,56,https://example.com/image56.jpg,Michael96,010-6404-7737,AVAILABLE
4,False,101,MALE,57,https://example.com/image57.jpg,Sunny33,010-4500-3036,AVAILABLE
2,False,51,MALE,58,https://example.com/image58.jpg,Noah77,010-2670-4991,AVAILABLE
3,True,90,FEMALE,59,https://example.com/image59.jpg,Abigail93,010-5990-2712,AVAILABLE
1,False,30,FEMALE,60,https://example.com/image60.jpg,Alice28,010-1202-5358,AVAILABLE
0,True,35,MALE,61,https://example.com/image61.jpg,Ethan92,010-5212-1222,AVAILABLE
5,False,34,FEMALE,62,https://example.com/image62.jpg,Kevin76,010-1853-9012,AVAILABLE
1,False,37,FEMALE,63,https://example.com/image63.jpg,Alexander36,010-7018-8499,AVAILABLE
3,True,110,FEMALE,64,https://example.com/image64.jpg,Olivia24,010-9894-7576,AVAILABLE
0,False,105,FEMALE,65,https://example.com/image65.jpg,Liam10,010-6799-9257,AVAILABLE
1,False,83,FEMALE,66,https://example.com/image66.jpg,Alexander61,010-7607-9136,AVAILABLE
4,False,69,MALE,67,https://example.com/image67.jpg,Ava68,010-1904-9655,AVAILABLE
1,False,62,MALE,68,https://example.com/image68.jpg,Emily94,010-1680-9422,AVAILABLE
2,False,6,MALE,69,https://example.com/image69.jpg,Noah29,010-1130-9815,AVAILABLE
0,False,111,FEMALE,70,https://example.com/image70.jpg,Ethan63,010-6237-8493,AVAILABLE
4,False,39,FEMALE,71,https://example.com/image71.jpg,Lucas99,010-2772-5810,AVAILABLE
0,False,79,MALE,72,https://example.com/image72.jpg,William84,010-1077-6940,AVAILABLE
3,False,72,FEMALE,73,https://example.com/image73.jpg,Alice77,010-1915-8342,AVAILABLE
1,False,65,FEMALE,74,https://example.com/image74.jpg,Harper16,010-1279-4093,AVAILABLE
5,False,5,MALE,75,https://example.com/image75.jpg,Lucas86,010-7503-7903,AVAILABLE
3,False,100,FEMALE,76,https://example.com/image76.jpg,Sunny24,010-7791-1038,AVAILABLE
4,True,94,FEMALE,77,https://example.com/image77.jpg,Sophia66,010-8973-9099,AVAILABLE
3,False,62,MALE,78,https://example.com/image78.jpg,James89,010-8185-9540,AVAILABLE
3,True,7,FEMALE,79,https://example.com/image79.jpg,Ava70,010-2294-4644,AVAILABLE
4,False,72,FEMALE,80,https://example.com/image80.jpg,Abigail60,010-1942-5228,AVAILABLE
3,True,14,MALE,81,https://example.com/image81.jpg,Abigail89,010-1740-8302,AVAILABLE
5,False,86,MALE,82,https://example.com/image82.jpg,Lucas11,010-4482-4978,AVAILABLE
1,True,28,MALE,83,https://example.com/image83.jpg,Abigail48,010-2969-2370,AVAILABLE
5,False,101,MALE,84,https://example.com/image84.jpg,Alexander19,010-4363-8760,AVAILABLE
4,False,33,MALE,85,https://example.com/image85.jpg,Isabella99,010-1494-5982,AVAILABLE
3,False,24,FEMALE,86,https://example.com/image86.jpg,Sunny1,010-9241-9444,AVAILABLE
5,False,21,FEMALE,87,https://example.com/image87.jpg,Emma45,010-1523-6528,AVAILABLE
4,False,118,FEMALE,88,https://example.com/image88.jpg,Liam41,010-7042-4754,AVAILABLE
0,False,36,MALE,89,https://example.com/image89.jpg,Sunny89,010-7388-9855,AVAILABLE
4,False,39,FEMALE,90,https://example.com/image90.jpg,Liam19,010-3530-9247,AVAILABLE
2,False,60,MALE,91,https://example.com/image91.jpg,William20,010-9271-4509,AVAILABLE
1,False,17,MALE,92,https://example.com/image92.jpg,Evelyn73,010-5701-3171,AVAILABLE
2,False,73,MALE,93,https://example.com/image93.jpg,Sunny16,010-6179-3432,AVAILABLE
0,True,16,MALE,94,https://example.com/image94.jpg,Daniel42,010-9612-5301,AVAILABLE
5,False,88,MALE,95,https://example.com/image95.jpg,Noah70,010-4503-5878,AVAILABLE
1,False,104,MALE,96,https://example.com/image96.jpg,Alexander83,010-9461-6656,AVAILABLE
2,False,89,FEMALE,97,https://example.com/image97.jpg,Sunny70,010-6069-9419,AVAILABLE
1,False,114,MALE,98,https://example.com/image98.jpg,Isabella19,010-5360-3314,AVAILABLE
4,False,108,FEMALE,99,https://example.com/image99.jpg,Sunny21,010-9062-4224,AVAILABLE
0,False,49,FEMALE,100,https://example.com/image100.jpg,Daniel56,010-4785-4745,AVAILABLE
